# nrow,Sequencing Panel,Sample ID (Illumina),Sample ID (Collaborator),Sample ID (SGDP),DNA Source,"Embargo level (X=Fully Public, Y=Signed Letter)",Genetic sex assignment,Population ID,Region,Country,Town,Latitude,Longitude,Coverage (mean), Number of bases covered without masking , Number of bases covered filter level >=0 , Number of bases covered filter level >=1 , Number of bases covered filter level >=9 ,Divergence per bp to hg19 without masking,Divergence per bp to hg19 filter level >=0,Divergence per bp to hg19 filter level >=1,Divergence per bp to hg19 filter level >=9,mtDNA haplogroup,Y haplogroup,samtools autosomal heterozygosity,samtools X heterozygosity,mlrho autosomal heterozygosity,mlrho X chromosome heterozygosity,zygosities:mlrho_X_het_lowerBound,zygosities:mlrho_X_het_upperBound,GATK heterozygosity rate filter level without masking,GATK heterozygosity rate filter level filter level >=0,GATK heterozygosity rate filter level filter level >=1,GATK heterozygosity rate filter level filter level >=9,Neanderthal ancestry estimate based on rate of nd10 sites,Denisova ancestry estimate based on rate of nd10 sites,Discordance rate with Human Origins SNP array,Fraction of variants not seen in 1kg at filter level >=1 ,Fraction of genome covered at 20X,Fraction of genome covered at 10X,Concordance with Omni genotyping array,Contamination estimate (conTEST) at filter level>=0 (fraction),Contamination estimate (conTEST) at filter level>=1 (fraction),Contamination estimate (conTEST) at filter level>=9 (fraction)
51,C,LP6005441-DNA_E07,HGDP01199,S_Mandenka-1,Genomic_from_cell_lines,X,XY,Mandenka,Africa,Senegal,?,12,-12,34.59,"2,656,318,600","2,326,103,104","2,123,060,308","1,248,214,677",0.001186718,0.001060901,0.001012691,0.000983,L2c3a,E1b1a1a1g1,0.00110476,5.94E-05,1.17E-03,7.34E-05,7.17E-05,7.51E-05,0.001145626,0.000984813,0.000945119,0.000920597,0,0,0.003,0.0137,0.87,0.92,0.992,0.001,0.001,0.001
52,C,LP6005441-DNA_F07,HGDP00915,S_Mandenka-2,Genomic_from_cell_lines,X,XX,Mandenka,Africa,Senegal,?,12,-12,39.02,"2,656,287,044","2,320,170,433","2,128,294,091","1,281,268,737",0.001181942,0.001053436,0.001005062,0.000974,L3b1a,..,0.0011419,0.000722647,1.17E-03,7.96E-04,7.89E-04,8.02E-04,0.00118796,0.001021983,0.000980692,0.000955228,0,0,0.003,0.0134,0.91,0.91,0.993,0.001,0.001,0.001
53,C,LP6005443-DNA_F06,NA21490,S_Masai-1,Genomic_from_cell_lines,X,XY,Masai,Africa,Kenya,Kinyawa,-1.5,35.2,47.62,"2,641,119,544","2,311,534,507","2,113,520,201","1,258,148,268",0.0011529,0.001026129,0.00097583,0.000937,L3h1a1,E1b1b1b2b,0.0010859,5.95E-05,1.16E-03,7.63E-05,7.45E-05,7.82E-05,0.001130808,0.000968502,0.000926586,0.000890245,0.003,0.001,0.003,0.026,0.91,0.92,0.993,0.001,0.001,0.001
54,C,LP6005443-DNA_E06,NA21581,S_Masai-2,Genomic_from_cell_lines,X,XY,Masai,Africa,Kenya,Kinyawa,-1.5,35.2,38.84,"2,655,935,226","2,325,730,286","2,245,165,718","1,224,532,531",0.001151237,0.001026756,0.000987813,0.000924,L0a1b:0,E2a,0.00108739,5.37E-05,1.16E-03,7.15E-05,6.98E-05,7.32E-05,0.001131753,0.000971776,0.000943302,0.000933511,0.004,0.001,0.005,0.0273,0.88,0.92,0.993,0.001,0.001,0.001
55,C,LP6005592-DNA_C03,HGDP00474,S_Mbuti-1,Genomic_from_cell_lines,X,XY,Mbuti,Africa,Congo,?,1,29,41.77,"2,655,406,650","2,313,916,513","2,106,925,742","1,243,335,051",0.001278899,0.001138387,0.001082525,0.00104,L2a2a1,E1b1a1a1g1,0.00110492,5.98E-05,1.20E-03,8.92E-05,8.72E-05,9.11E-05,0.001162643,0.000986001,0.000943871,0.000913493,0.002,0.007,0.004,0.0497,0.89,0.92,0.992,..,0.001,0.001
56,C,LP6005441-DNA_B08,HGDP00476,S_Mbuti-2,Genomic_from_cell_lines,X,XX,Mbuti,Africa,Congo,?,1,29,38.3,"2,655,538,141","2,318,709,166","2,073,035,818","1,239,284,540",0.001272607,0.001137744,0.001079644,0.001031,L0a2b1,..,0.0011239,0.000708479,1.16E-03,7.78E-04,7.72E-04,7.84E-04,0.001178855,0.001013563,0.000969819,0.000931348,0.003,0.007,0.005,0.0482,0.9,0.91,0.992,..,0.001,0.001
57,C,LP6005441-DNA_A08,HGDP00449,S_Mbuti-3,Genomic_from_cell_lines,X,XY,Mbuti,Africa,Congo,?,1,29,38.78,"2,655,019,461","2,316,350,052","2,090,473,279","1,158,107,277",0.001271814,0.001136983,0.00108047,0.001027,L0a2b,B2b1,0.00109265,5.27E-05,1.16E-03,6.92E-05,6.75E-05,7.09E-05,0.001144312,0.000981015,0.000939846,0.000890606,0.003,0.007,0.004,0.0485,0.88,0.92,0.993,..,0.001,0.001
58,C,LP6005442-DNA_G11,HG03078,S_Mende-1,Genomic_from_cell_lines,X,XY,Mende,Africa,SierraLeone,?,8.5,-13.2,40.37,"2,656,364,666","2,327,809,523","2,142,393,522","1,280,789,331",0.00119799,0.001069971,0.00101882,0.00098,L2a1c,E1b1a1a1f,0.00112094,5.27E-05,1.20E-03,8.14E-05,7.96E-05,8.33E-05,0.001168896,0.001003737,0.000961586,0.000928454,0,0,0.004,0.0078,0.89,0.92,0.993,0.001,0.001,0.001
59,C,LP6005442-DNA_H11,HG03085,S_Mende-2,Genomic_from_cell_lines,X,XX,Mende,Africa,SierraLeone,?,8.5,-13.2,37.44,"2,655,888,080","2,326,715,748","2,147,475,639","1,231,060,100",0.001200669,0.001071456,0.001021248,0.000979,L2a1l,..,0.00116326,0.000782492,1.20E-03,8.68E-04,8.61E-04,8.75E-04,0.001216437,0.001047898,0.001004237,0.000967123,0,0,0.003,0.0078,0.9,0.91,0.993,0.001,0.001,0.001
60,C,LP6005441-DNA_G08,HGDP01253,S_Mozabite-1,Genomic_from_cell_lines,X,XY,Mozabite,Africa,Algeria,?,32,3,37.87,"2,656,716,276","2,327,915,545","2,127,547,864","1,216,267,474",0.001054845,0.000938722,0.000892643,0.000856,H1n:0,E1b1b1b1a2,0.000915806,3.32E-05,9.71E-04,5.26E-05,5.11E-05,5.41E-05,0.000950853,0.000805531,0.000769359,0.000735322,0.013,0,0.002,0.0152,0.88,0.92,0.993,0.001,0.001,0.001
61,C,LP6005441-DNA_H08,HGDP01274,S_Mozabite-2,Genomic_from_cell_lines,X,XX,Mozabite,Africa,Algeria,?,32,3,40.12,"2,656,828,753","2,325,844,175","2,132,518,480","1,286,500,951",0.001067663,0.000950354,0.000904333,0.000868,U6a1a1,..,0.000990836,0.000601508,1.01E-03,6.60E-04,6.54E-04,6.66E-04,0.001027912,0.000878572,0.000839667,0.000808659,0.013,0,0.002,0.0149,0.91,0.91,0.992,0.001,0.001,0.001
62,C,LP6005619-DNA_B01,SAH31,S_Saharawi-1,Genomic_from_blood,X,XY,Saharawi,Africa,Western Sahara (Morocco),Close to the Algerian border,27.3,-8.9,47.08,"2,649,806,710","2,322,382,774","2,128,625,405","1,224,904,013",0.001058778,0.000938203,0.000892254,0.000862,U6a5a,E1b1b1b1a2,0.000912328,4.79E-05,9.91E-04,7.85E-05,7.66E-05,8.04E-05,0.000959102,0.000810198,0.000775032,0.000748087,0.014,0,..,0.0146,0.91,0.92,0.993,0.001,0.001,0.001
63,C,LP6005619-DNA_C01,SAH41,S_Saharawi-2,Genomic_from_blood,X,XY,Saharawi,Africa,Western Sahara (Morocco),Close to the Algerian border,27.3,-8.9,50.59,"2,646,358,630","2,317,315,709","2,131,902,183","1,175,181,909",0.001059056,0.000941777,0.000895402,0.000858,L3b1a,E1b1a1a1,0.000939467,4.25E-05,1.02E-03,7.24E-05,7.06E-05,7.42E-05,0.000982676,0.000834401,0.000797197,0.000758135,0.013,0,..,0.0146,0.91,0.92,0.992,0.001,0.001,0.001
64,C,LP6005442-DNA_D09,Ayodo_81S,S_Somali-1,Genomic_from_blood,X,XX,Somali,Africa,Kenya,Garissa,5.6,48.3,41.91,"2,657,110,647","2,326,947,080","2,149,298,828","1,253,993,117",0.001119156,0.000995879,0.000950574,0.00092,M1a1,..,0.00101443,0.000614455,1.04E-03,6.83E-04,6.76E-04,6.89E-04,0.001060577,0.000901741,0.000864115,0.000837955,0.008,0.001,0.002,0.028,0.91,0.91,0.993,0.001,0.001,0.001
65,C,LP6005442-DNA_B02,HGDP00928,S_Yoruba-1,Genomic_from_cell_lines,X,XX,Yoruba,Africa,Nigeria,?,7.4,3.9,35.98,"2,655,832,571","2,325,699,698","2,118,495,186","1,281,291,758",0.001190273,0.001062983,0.001009676,0.000972,L2a1f,..,0.00114834,0.000758097,1.19E-03,8.33E-04,8.27E-04,8.40E-04,0.00120037,0.00103635,0.000990764,0.000958517,0,0,0.004,0.0121,0.9,0.91,0.993,0.001,0.001,0.001
66,C,LP6005442-DNA_A02,HGDP00932,S_Yoruba-2,Genomic_from_cell_lines,X,XY,Yoruba,Africa,Nigeria,?,7.4,3.9,34.21,"2,655,630,009","2,325,364,496","2,120,157,927","1,271,462,054",0.001191879,0.001062475,0.001009384,0.000974,L3d1'2'3'4'5,E1b1a1a1f1b1,0.00110952,5.28E-05,1.18E-03,6.84E-05,6.68E-05,7.01E-05,0.001158699,0.00099481,0.000950699,0.000918963,0,0,0.003,0.0118,0.86,0.92,0.993,0.001,0.001,0.001
67,C,LP6005519-DNA_D01,TGBS21,S_Chane-1,Genomic_from_blood,X,XY,Chane,America,Argentina,"Salta (province), Tartagal (city) ",-25,-60,58.12,"2,657,310,771","2,324,568,806","2,122,799,515","1,198,010,669",0.001037509,0.000920063,0.000871784,0.00083,B2i,Q1a2a1a1,0.000707858,3.91E-05,7.59E-04,6.02E-05,5.86E-05,6.20E-05,0.000741765,0.000608503,0.000579614,0.000551515,0.021,0.002,0.005,0.0186,0.92,0.92,0.993,0.001,0.001,0.001
68,C,LP6005442-DNA_H06,NAD93,S_Chipewyan-1,Genomic_from_blood,Y,XX,Chipewyan,America,Canada,Uranium City,59.6,-107.3,40.33,"2,655,825,154","2,330,754,600","2,159,067,956","1,211,084,024",0.001040093,0.000921975,0.000878874,0.000849,A2:0,..,0.000729582,0.00033019,7.49E-04,3.79E-04,3.74E-04,3.83E-04,0.000765589,0.000630986,0.00060384,0.00058839,0.023,0.003,0.002,0.019,0.91,0.91,0.993,0.001,0.001,0.001
69,C,LP6005443-DNA_F05,NAD59,S_Chipewyan-2,Genomic_from_blood,Y,XY,Chipewyan,America,Canada,Saskatchewan,59.6,-107.3,42.94,"2,655,417,677","2,269,581,314","1,958,975,046","1,185,219,393",0.001043682,0.000916466,0.000880547,0.000883,A2:0,C3b,0.000702467,5.67E-05,7.28E-04,5.22E-05,5.07E-05,5.37E-05,0.000745362,0.000603658,0.000579407,0.000575992,0.026,0.004,0.002,0.0199,0.85,0.92,0.993,0.001,0.001,0.001
70,C,LP6005442-DNA_A07,Cree5,S_Cree-1,Genomic_from_blood,Y,XY,Cree,America,Canada,Saskatchewan,50.3,-102.5,36.69,"2,656,170,346","2,329,609,528","2,150,986,305","1,227,608,535",0.001024066,0.000911371,0.000870462,0.000847,A2f1a,R1b1a2a1a1c2b2a,0.000827829,3.44E-05,8.79E-04,5.47E-05,5.32E-05,5.62E-05,0.000866294,0.000731527,0.000701956,0.000679749,0.021,0.004,0.002,0.0149,0.88,0.92,0.993,0.001,0.001,0.001
71,C,LP6005442-DNA_B07,Cree6,S_Cree-2,Genomic_from_blood,Y,XX,Cree,America,Canada,Saskatchewan,50.3,-102.5,40.42,"2,656,404,704","2,331,177,964","2,149,654,753","1,167,539,478",0.001034817,0.000918718,0.000877655,0.00086,A2b1,..,0.000830174,0.000418638,8.55E-04,4.77E-04,4.72E-04,4.82E-04,0.000866178,0.000726441,0.000695716,0.000680433,0.022,0.004,0.002,0.0157,0.91,0.91,0.993,0.001,0.001,0.001
72,C,LP6005441-DNA_G06,HGDP01012,S_Karitiana-1,Genomic_from_cell_lines,X,XY,Karitiana,America,Brazil,?,-10,-63,44.93,"2,654,469,038","2,325,052,454","2,136,701,680","1,202,165,357",0.001040124,0.000918295,0.000873717,0.000839,D1e,Q1a2a1a1,0.000621298,3.49E-05,6.71E-04,6.43E-05,6.27E-05,6.61E-05,0.000656723,0.000521046,0.000498301,0.000480201,0.02,0.004,0.002,0.0188,0.9,0.92,0.994,0.001,0.001,0.001
73,C,LP6005441-DNA_H06,HGDP01018,S_Karitiana-2,Genomic_from_cell_lines,X,XX,Karitiana,America,Brazil,?,-10,-63,39.49,"2,654,029,630","2,324,405,522","2,155,680,882","1,283,795,262",0.00103738,0.000919447,0.000876512,0.000843,D1e,..,0.000641406,0.000363089,6.67E-04,4.27E-04,4.22E-04,4.31E-04,0.000677587,0.000549147,0.000524792,0.000507366,0.02,0.003,0.002,0.0195,0.9,0.91,0.994,0.001,0.001,0.001
74,C,LP6005441-DNA_G07,HGDP00855,S_Mayan-1,Genomic_from_cell_lines,X,XX,Mayan,America,Mexico,?,19,-91,37.77,"2,655,611,447","2,322,889,555","2,134,007,529","1,219,294,085",0.001038642,0.00092171,0.000877607,0.00084,A2:0,..,0.000741559,0.000419747,7.52E-04,4.73E-04,4.68E-04,4.77E-04,0.000772183,0.000637395,0.000608526,0.000585978,0.021,0.004,0.002,0.018,0.9,0.91,0.994,0.001,0.001,0.001
75,C,LP6005441-DNA_H07,HGDP00857,S_Mayan-2,Genomic_from_cell_lines,X,XX,Mayan,America,Mexico,?,19,-91,45.13,"2,655,484,804","2,326,920,726","2,156,067,348","1,265,156,086",0.001039661,0.000921428,0.000876056,0.000838,A2e,..,0.000719133,0.000326031,7.47E-04,3.82E-04,3.77E-04,3.87E-04,0.000751869,0.00061928,0.000591653,0.000568628,0.022,0.004,0.002,0.0177,0.91,0.91,0.994,0.001,0.001,0.001
76,C,LP6005443-DNA_E11,mixe0002,S_Mixe-2,Genomic_from_cell_lines,X,XX,Mixe,America,Mexico,"Tmazulapan, Mixe",16.95,96.58,46.94,"2,655,176,622","2,319,530,234","2,154,917,678","1,180,680,646",0.001041231,0.000921015,0.00087694,0.000833,A2m,..,0.000732202,0.000374948,7.60E-04,4.36E-04,4.31E-04,4.41E-04,0.000767685,0.000628265,0.000600764,0.000573733,0.021,0.003,..,0.0181,0.91,0.91,0.994,0.001,0.001,0.001
77,C,LP6005443-DNA_F11,mixe0042,S_Mixe-3,Genomic_from_cell_lines,X,XX,Mixe,America,Mexico,"Tamazulapan, Mixe",16.95,96.58,46.66,"2,638,402,540","2,308,880,375","2,125,806,574","1,193,597,684",0.001042474,0.000924656,0.000879671,0.000844,B2c1b,..,0.000720301,0.00037462,7.47E-04,4.39E-04,4.34E-04,4.44E-04,0.000756573,0.000619883,0.000591895,0.000570624,0.021,0.004,..,..,0.91,0.91,0.993,0.001,..,..
78,C,LP6005443-DNA_G11,mixa0099,S_Mixtec-1,Genomic_from_cell_lines,X,XY,Mixtec,America,Mexico,San Andres Nuxino,17,-97,44.48,"2,654,948,661","2,324,671,325","2,130,537,099","1,258,519,986",0.001042262,0.000923808,0.000879689,0.00085,A2u,Q1a2a1a1,0.000752503,4.54E-05,8.05E-04,6.91E-05,6.73E-05,7.08E-05,0.000788014,0.000648845,0.000620143,0.000602009,0.021,0.003,..,0.0187,0.9,0.92,0.993,0.001,0.001,0.001
79,C,LP6005443-DNA_H11,mixa0105,S_Mixtec-2,Genomic_from_cell_lines,X,XX,Mixtec,America,Mexico,?,17,-97,46.91,"2,653,151,008","2,322,157,661","2,142,040,645","1,224,840,564",0.001035805,0.000918612,0.000873761,0.000838,B2,..,0.000852407,0.000535525,8.84E-04,6.10E-04,6.04E-04,6.16E-04,0.000889967,0.00074359,0.000709058,0.00068335,0.021,0.001,..,0.0159,0.91,0.91,0.993,0.001,0.001,0.001
80,C,LP6005519-DNA_A03,Mex02,S_Nahua-1,Genomic_from_saliva,Y,XY,Nahua,America,Mexico,Zitlala,..,..,56.19,"2,657,406,338","2,327,046,501","2,126,386,821","1,236,996,534",0.001040305,0.000921382,0.000874329,0.000837,B2,Q1a2a1a1,0.000725233,3.65E-05,7.92E-04,6.80E-05,6.62E-05,6.99E-05,0.000765625,0.000627361,0.000598405,0.000574257,..,..,..,..,0.92,0.92,0.993,0.001,0.001,0.001
81,C,LP6005519-DNA_B03,Mex20,S_Nahua-2,Genomic_from_saliva,Y,XY,Nahua,America,Mexico,Zitlala,?,?,37.05,"2,655,572,286","2,329,031,456","2,146,680,887","1,226,329,302",0.00103773,0.000920902,0.000876637,0.000844,B2,Q1a2a1b,0.000719422,3.71E-05,7.70E-04,6.16E-05,6.00E-05,6.33E-05,0.000757407,0.000623839,0.000596516,0.000575136,0.021,0.003,..,0.0167,0.88,0.92,0.992,0.001,0.001,0.001
82,C,LP6005441-DNA_A04,HGDP00702,S_Piapoco-1,Genomic_from_cell_lines,X,XX,Piapoco,America,Colombia,?,3,-68,40.88,"2,653,789,395","2,323,140,307","2,116,364,245","1,252,413,075",0.001040686,0.000922367,0.000875212,0.000836,A2:0,..,0.000662306,0.000323727,6.79E-04,3.76E-04,3.72E-04,3.81E-04,0.000697917,0.000567373,0.000540227,0.000517834,0.02,0.004,0.002,0.0174,0.91,0.91,0.994,0.001,0.001,0.001
83,C,LP6005441-DNA_B04,HGDP00706,S_Piapoco-2,Genomic_from_cell_lines,X,XX,Piapoco,America,Colombia,?,3,-68,41.01,"2,654,210,874","2,324,060,022","2,133,463,876","1,252,380,522",0.001039591,0.000921909,0.000876696,0.000838,C1d1,..,0.000715808,0.000356575,7.36E-04,4.09E-04,4.04E-04,4.13E-04,0.000753291,0.000618591,0.000589548,0.000568133,0.02,0.004,0.002,0.0181,0.91,0.91,0.995,0.001,0.001,0.001
84,C,LP6005441-DNA_E10,HGDP01047,S_Pima-1,Genomic_from_cell_lines,X,XY,Pima,America,Mexico,?,29,-108,43.03,"2,656,316,860","2,328,012,175","2,138,466,244","1,218,254,699",0.001039218,0.000921635,0.000874891,0.000831,C1b11,Q1a2a1a1,0.000713157,3.89E-05,7.63E-04,5.95E-05,5.80E-05,6.12E-05,0.000747621,0.000612161,0.000583534,0.000551055,0.021,0.003,0.002,0.0184,0.89,0.92,0.994,0.001,0.001,0.001
85,C,LP6005441-DNA_F10,HGDP01044,S_Pima-2,Genomic_from_cell_lines,X,XX,Pima,America,Mexico,?,29,-108,37.84,"2,654,683,170","2,326,250,144","2,133,269,418","1,241,471,021",0.001043151,0.000927542,0.000878108,0.000832,C1b11,..,0.000677994,0.00026198,7.19E-04,3.23E-04,3.19E-04,3.27E-04,0.000715181,0.000586885,0.000557079,0.000530674,0.021,0.003,0.002,0.0208,0.9,0.91,0.993,0.001,0.001,0.001
86,C,LP6005677-DNA_F01,NA11201,S_Quechua-1,Genomic_from_cell_lines,X,XX,Quechua,America,Peru,Cell_line_repository_sampling_location_unknown,-13.5,-72,42.04,"2,655,848,742","2,327,475,866","2,148,879,726","1,270,419,726",0.001039678,0.000920697,0.00087521,0.000837,C1b2,..,0.000756678,0.000376825,7.84E-04,4.37E-04,4.32E-04,4.42E-04,0.000792948,0.00065082,0.000620705,0.000597102,0.022,0.003,0.003,0.0155,0.9,0.91,0.993,0.001,0.001,0.001
87,C,LP6005677-DNA_E01,NA11200,S_Quechua-2,Genomic_from_cell_lines,X,XY,Quechua,America,Peru,Cell_line_repository_sampling_location_unknown,-13.5,-72,44.82,"2,654,811,583","2,317,842,077","2,104,977,797","1,178,471,608",0.001041051,0.000921119,0.000872996,0.000824,B2,Q1a2a1a1,0.000706983,4.49E-05,7.54E-04,6.37E-05,6.21E-05,6.54E-05,0.000746152,0.000610159,0.000581526,0.000550667,0.022,0.003,0.002,0.0167,0.9,0.92,0.993,0.001,0.001,0.001
88,C,LP6005519-DNA_G02,Peru60,S_Quechua-3,Genomic_from_blood,X,XX,Quechua,America,Peru,?,-13.5,-72,59.78,"2,623,812,282","2,295,079,091","2,099,154,413","1,137,045,170",0.001040044,0.000920737,0.000874418,0.000844,B2b,..,0.000731962,0.000343782,7.81E-04,4.19E-04,4.13E-04,4.25E-04,0.000771632,0.000634521,0.000603554,0.000581226,0.022,0.003,..,0.017,0.91,0.91,0.993,0.001,0.001,0.001
89,C,LP6005441-DNA_A12,HGDP00846,S_Surui-1,Genomic_from_cell_lines,X,XX,Surui,America,Brazil,?,-11,-62,41.5,"2,655,624,798","2,327,761,182","2,139,235,836","1,195,748,741",0.001040943,0.000921776,0.000874697,0.000828,A2,..,0.000628637,0.000210756,6.59E-04,2.61E-04,2.57E-04,2.64E-04,0.000662998,0.000533975,0.000508438,0.000484579,0.02,0.003,0.002,0.0204,0.91,0.91,0.995,0.001,..,0.001
90,C,LP6005441-DNA_B12,HGDP00852,S_Surui-2,Genomic_from_cell_lines,X,XX,Surui,America,Brazil,?,-11,-62,35.63,"2,655,132,855","2,326,759,781","2,149,137,292","1,238,748,228",0.001040022,0.000922465,0.000877626,0.000834,D1a1,..,0.000607912,0.00019101,6.32E-04,2.34E-04,2.31E-04,2.38E-04,0.000645404,0.000517024,0.000492295,0.000471493,0.02,0.003,0.002,0.0189,0.9,0.91,0.994,..,0.002,0.002
91,C,LP6005443-DNA_A12,zapo0098,S_Zapotec-1,Genomic_from_cell_lines,X,XY,Zapotec,America,Mexico,San Juan Guelavia,16.5,-97.2,45.75,"2,655,288,957","2,324,847,321","2,162,393,988","1,164,996,872",0.001039463,0.000921131,0.000876816,0.000838,A2v,Q1a2a1a1,0.000734696,3.97E-05,7.89E-04,6.08E-05,5.92E-05,6.25E-05,0.000772314,0.000634364,0.000607565,0.00058214,0.021,0.003,..,0.018,0.9,0.92,0.994,0.001,0.001,0.001
92,C,LP6005677-DNA_D01,zapo0099,S_Zapotec-2,Genomic_from_cell_lines,X,XY,Zapotec,America,Mexico,San Juan Guelavia,16.5,-97.2,39.23,"2,655,156,557","2,325,800,904","2,129,826,234","1,264,104,475",0.001040584,0.000920157,0.000877477,0.000851,C1b7a,Q1a2a1a1,0.00073944,3.94E-05,7.89E-04,6.45E-05,6.29E-05,6.62E-05,0.000776184,0.00063564,0.000609463,0.000596012,0.021,0.004,..,0.0179,0.88,0.92,0.994,0.001,0.001,0.001
93,C,LP6005443-DNA_A03,Ale22,S_Aleut-1,Genomic_from_blood,X,XY,Aleut,CentralAsiaSiberia,Russia,"Nikolskoye, Commander Islands",55.18,166,46.46,"2,656,054,027","2,329,233,086","2,150,340,268","1,191,673,509",0.001035572,0.000917509,0.000874291,0.00084,D2a1a,J2a1,0.000843324,4.17E-05,9.15E-04,7.25E-05,7.07E-05,7.43E-05,0.000884979,0.000738417,0.000706004,0.000674704,0.024,0.002,0.002,0.0165,0.9,0.92,0.992,0.003,0.003,0.003
94,C,LP6005443-DNA_H02,Ale20,S_Aleut-2,Genomic_from_blood,X,XX,Aleut,CentralAsiaSiberia,Russia,"Nikolskoye, Commander Islands",55.18,166,38.76,"2,656,128,369","2,329,418,688","2,158,088,873","1,251,245,242",0.001028774,0.000912753,0.000871213,0.000841,D2a1a,..,0.000841364,0.00048612,8.64E-04,5.49E-04,5.43E-04,5.55E-04,0.000879964,0.000737253,0.000703998,0.000675437,0.022,0.003,0.002,0.0177,0.9,0.91,0.993,0.001,0.001,0.001
95,C,LP6005442-DNA_F02,altai363p,S_Altaian-1,Genomic_from_blood,X,XY,Altaian,CentralAsiaSiberia,Russia,"Tenga, Ongudaisky district, Altai Republic",51.9,86,39.12,"2,651,142,488","2,326,633,929","2,139,740,780","1,272,690,876",0.001030743,0.000916198,0.000872456,0.000844,D4b1a2a2,R1a1a1b2,0.000841485,4.27E-05,8.89E-04,6.27E-05,6.11E-05,6.44E-05,0.000873805,0.000737793,0.000706597,0.000684473,0.024,0.004,0.002,0.0166,0.89,0.92,0.992,0.001,0.001,0.001
96,C,LP6005443-DNA_C03,Sir19,S_Chukchi-1,Genomic_from_blood,X,XY,Chukchi,CentralAsiaSiberia,Russia,"Sireniki, Chukchi Peninsula",69,169,47.09,"2,656,525,333","2,327,396,213","2,134,269,513","1,183,675,987",0.001028014,0.000913187,0.000869951,0.000836,A2b1,R1a1a1b1a2b3a,0.000888508,4.25E-05,9.51E-04,6.43E-05,6.26E-05,6.60E-05,0.000925392,0.00078441,0.000751393,0.000719053,0.021,0.004,..,0.0156,0.9,0.92,0.992,0.001,0.001,0.001
97,C,LP6005443-DNA_D03,Esk29,S_Eskimo_Chaplin-1,Genomic_from_blood,X,XY,Eskimo_Chaplin,CentralAsiaSiberia,Russia,"New Chaplino, Chukchi Peninsula",64.48,172.86,45.64,"2,648,142,775","2,321,287,663","2,135,385,969","1,236,285,334",0.001047675,0.00092907,0.000885286,0.000855,A2b1,N1c1a1a,0.000725231,3.66E-05,7.74E-04,5.89E-05,5.73E-05,6.05E-05,0.000763836,0.000627974,0.000601336,0.000579594,0.023,0.003,0.002,0.0189,0.9,0.92,0.993,0.001,0.001,0.001
98,C,LP6005443-DNA_F03,Nesk_22,S_Eskimo_Naukan-1,Genomic_from_blood,X,XX,Eskimo_Naukan,CentralAsiaSiberia,Russia,"Naukan, Chukchi Peninsula",66.02,169.71,49.09,"2,643,173,143","2,317,739,119","2,114,428,469","1,186,388,569",0.001043785,0.000925389,0.000878696,0.000843,A2a,..,0.000764199,0.000389543,7.93E-04,4.51E-04,4.46E-04,4.56E-04,0.000801993,0.000664956,0.000632467,0.000606776,0.023,0.003,0.002,0.0187,0.91,0.91,0.994,0.001,0.001,0.001
99,C,LP6005443-DNA_G03,Nesk_25,S_Eskimo_Naukan-2,Genomic_from_blood,X,XX,Eskimo_Naukan,CentralAsiaSiberia,Russia,"Big Diomide Island, Chukchi Peninsula",66.02,169.71,46.31,"2,655,785,418","2,328,580,590","2,153,115,195","1,212,870,616",0.0010456,0.000927088,0.000883333,0.000851,A2b1,..,0.00075401,0.000394691,7.88E-04,4.68E-04,4.63E-04,4.73E-04,0.000794931,0.000656992,0.000628399,0.000607492,0.023,0.005,0.002,0.019,0.91,0.91,0.993,0.001,0.001,0.001
100,C,LP6005443-DNA_B03,Sir26,S_Eskimo_Sireniki-1,Genomic_from_blood,X,XY,Eskimo_Sireniki,CentralAsiaSiberia,Russia,"Sireniki, Chukchi Peninsula",64.4,173.9,43.61,"2,653,827,033","2,326,251,925","2,145,072,377","1,193,026,480",0.001045881,0.000925044,0.000881633,0.000852,A2b1,N1c1a1a,0.000757907,4.06E-05,8.22E-04,7.18E-05,7.00E-05,7.36E-05,0.000797849,0.000657795,0.000629487,0.000604571,0.022,0.003,0.002,0.0195,0.9,0.92,0.993,0.001,0.001,0.001
101,C,LP6005443-DNA_H03,Sir40,S_Eskimo_Sireniki-2,Genomic_from_blood,X,XX,Eskimo_Sireniki,CentralAsiaSiberia,Russia,"Sireniki, Chukchi Peninsula",64.4,173.9,49.37,"2,635,648,732","2,310,988,445","2,127,866,651","1,137,784,330",0.001043376,0.000925,0.000882573,0.000852,D2a1b,..,0.000775121,0.000408919,8.14E-04,4.80E-04,4.75E-04,4.86E-04,0.000817079,0.000678351,0.000649185,0.000627239,0.024,0.003,..,..,0.91,0.91,0.992,0.001,..,..
102,C,LP6005592-DNA_F03,Nlk1,S_Even-1,Genomic_from_blood,X,XX,Even,CentralAsiaSiberia,Russia,"Djigda, Eastern Siberia",57.53,135.88,49.77,"2,642,645,993","2,315,444,079","2,135,170,119","1,203,300,786",0.001046496,0.000926309,0.000882346,0.000853,C4a2,..,0.000851498,0.000459493,8.90E-04,5.40E-04,5.34E-04,5.46E-04,0.000891946,0.000743583,0.000710673,0.000686259,0.023,0.005,0.002,0.0175,0.91,0.91,0.995,0.001,0.001,0.001
