Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HGDP01399	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01418	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
HGDP01313	male			Dai		East Asia (HGDP)	DaiHGDP	Human Genome Diversity Project
HGDP01318	male			Lahu		East Asia (HGDP)	LahuHGDP	Human Genome Diversity Project
HGDP01332	male			She		East Asia (HGDP)	SheHGDP	Human Genome Diversity Project
HGDP01337	male			Naxi		East Asia (HGDP)	NaxiHGDP	Human Genome Diversity Project
HGDP01285	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01292	male			Northern Han		East Asia (HGDP)	NorthernHanHGDP	Human Genome Diversity Project
HGDP01300	male			Uygur		Central South Asia (HGDP)	UygurHGDP	Human Genome Diversity Project
HGDP01305	female			Uygur		Central South Asia (HGDP)	UygurHGDP	Human Genome Diversity Project
HGDP01259	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP01261	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP01266	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP01273	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP01280	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP01374	male			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01379	male			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01381	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01386	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01398	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01317	male			Lahu		East Asia (HGDP)	LahuHGDP	Human Genome Diversity Project
HGDP01329	male			She		East Asia (HGDP)	SheHGDP	Human Genome Diversity Project
HGDP01331	male			She		East Asia (HGDP)	SheHGDP	Human Genome Diversity Project
HGDP01336	female			She		East Asia (HGDP)	SheHGDP	Human Genome Diversity Project
HGDP01348	male			Tu		East Asia (HGDP)	TuHGDP	Human Genome Diversity Project
HGDP01362	male			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01367	female			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01247	male			Xibo		East Asia (HGDP)	XiboHGDP	Human Genome Diversity Project
HGDP01254	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00001	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00013	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00025	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00082	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00094	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00099	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00003	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00102	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00119	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00121	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00037	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00049	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00056	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00068	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00070	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00525	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00537	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00544	female			Papuan Sepik		Oceania (HGDP)	PapuanSepikHGDP	Human Genome Diversity Project
HGDP00549	male			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00551	male			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00556	male			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00563	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00568	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00412	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00417	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00450	male			Mbuti		Africa (HGDP)	MbutiHGDP	Human Genome Diversity Project
HGDP00455	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00462	male			Mbuti		Africa (HGDP)	MbutiHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00467	male			Mbuti		Africa (HGDP)	MbutiHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00210	female			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00222	male			Pathan		Central South Asia (HGDP)	PathanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00234	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00239	female			Pathan		Central South Asia (HGDP)	PathanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00241	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00258	male			Pathan		Central South Asia (HGDP)	PathanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00277	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00304	female			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00309	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00311	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00323	female			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00330	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00359	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00015	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00392	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00039	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00397	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00041	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00479	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00060	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00513	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00382	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00518	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00402	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00520	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00407	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00133	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00433	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00140	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00438	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00145	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00445	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00169	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00452	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00171	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00464	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00183	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00469	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00703	male			Colombian		America (HGDP)	ColombianHGDP	Human Genome Diversity Project
HGDP00471	female			Mbuti		Africa (HGDP)	MbutiHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00708	female			Colombian		America (HGDP)	ColombianHGDP	Human Genome Diversity Project
HGDP00490	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00710	male			Colombian		America (HGDP)	ColombianHGDP	Human Genome Diversity Project
HGDP00224	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00715	male			Cambodian		East Asia (HGDP)	CambodianHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00243	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00727	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00248	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00734	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00262	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00739	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00274	female			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00741	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00279	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00746	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00281	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00753	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00298	female			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00758	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00313	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00664	female			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00351	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00669	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00356	female			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00671	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00109	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00676	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00130	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00575	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00135	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00582	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00185	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00587	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00192	female			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00594	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00197	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00599	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00205	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00602	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00072	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00760	female			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00096	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00765	female			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00104	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00772	female			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00154	female			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00777	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00161	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00784	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00173	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00607	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00515	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00614	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00522	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00619	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00527	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00621	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00534	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00626	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00539	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00791	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00541	male			Papuan,Papuan Sepik		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanSepikHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00804	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP00546	male			Papuan,Papuan Sepik		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanSepikHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00811	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00553	male			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00683	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00558	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00688	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00560	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00690	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00642	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00638	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00647	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00640	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00654	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00645	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00661	female			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00967	female			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00666	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00974	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00692	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00981	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00697	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00986	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00700	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00993	male			Bantu South Africa		Africa (HGDP)	BantuSouthAfricaHGDP	Human Genome Diversity Project
HGDP00712	female			Cambodian		East Asia (HGDP)	CambodianHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00823	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00673	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00828	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00678	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00854	female			Maya		America (HGDP)	MayaHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00680	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00859	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00685	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00861	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00591	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00943	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00604	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00948	male			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00609	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00950	male			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00611	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00955	female			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00724	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00962	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00729	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01092	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00731	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01097	male			Tujia		East Asia (HGDP)	TujiaHGDP	Human Genome Diversity Project
HGDP00736	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01100	male			Tujia		East Asia (HGDP)	TujiaHGDP	Human Genome Diversity Project
HGDP00748	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP01155	male			Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project
HGDP00750	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00892	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00755	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00897	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00762	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00900	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00767	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00905	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00623	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00912	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00628	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00917	female			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00630	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00924	female			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00635	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00929	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00565	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00931	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00572	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00873	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00577	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00880	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00584	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00885	female			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00976	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01059	male			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP00983	male			Mbuti		Africa (HGDP)	MbutiHGDP	Human Genome Diversity Project
HGDP01066	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00995	female			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01073	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP01001	female			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01009	male			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01006	female			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01023	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01013	male			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01388	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP00849	male			Surui		America (HGDP)	SuruiHGDP	Human Genome Diversity Project
HGDP01403	male			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP00856	male			Maya		America (HGDP)	MayaHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP01408	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
HGDP00863	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01415	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
HGDP00868	female			Maya		America (HGDP)	MayaHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00870	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01275	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00875	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01282	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00806	female			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP01287	female			Northern Han		East Asia (HGDP)	NorthernHanHGDP	Human Genome Diversity Project
HGDP00813	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01294	male			Northern Han		East Asia (HGDP)	NorthernHanHGDP	Human Genome Diversity Project
HGDP00818	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01299	male			Uygur		Central South Asia (HGDP)	UygurHGDP	Human Genome Diversity Project
HGDP00820	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01162	male			Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project
HGDP00832	female			Surui		America (HGDP)	SuruiHGDP	Human Genome Diversity Project
HGDP01167	male			Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project
HGDP00837	male			Surui		America (HGDP)	SuruiHGDP	Human Genome Diversity Project
HGDP01174	male			Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project
HGDP00952	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP01181	male			Yi		East Asia (HGDP)	YiHGDP	Human Genome Diversity Project
HGDP00957	female			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP01186	male			Yi		East Asia (HGDP)	YiHGDP	Human Genome Diversity Project
HGDP00964	male			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP01193	male			Miao		East Asia (HGDP)	MiaoHGDP	Human Genome Diversity Project
HGDP00969	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP01249	male			Xibo		East Asia (HGDP)	XiboHGDP	Human Genome Diversity Project
HGDP00971	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01251	female			Xibo		East Asia (HGDP)	XiboHGDP	Human Genome Diversity Project
HGDP00902	female			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP01256	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00907	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01263	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00914	female			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01268	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00919	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01270	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00926	female			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
